training_data_file:/Users/crescentonc/code/comp5331/datasets_preprocessed/aotm_train_hyperparam.0.txt
test_data_file:/Users/crescentonc/code/comp5331/datasets_preprocessed/aotm_test_hyperparam.0.txt
HPO,100,50,7,0.14897450715904456
HPO,500,500,15,0.14510240838866098
HPO,750,50,2,0.18041988321294977
HPO,250,50,3,0.16875962491532337
HPO,1000,100,5,0.15290668234491883
HPO,1000,50,3,0.1687495306109221
HPO,100,50,2,0.18079152082276154
HPO,1000,50,5,0.15333506924517476
HPO,500,500,100,0.14451853436242387
HPO,500,100,100,0.14383777525009672
HPO,2500,100,5,0.15280483576698484
HPO,100,100,1,0.13122732053683345
HPO,1000,100,7,0.14696553283186417
HPO,2500,500,7,0.14672268727426527
HPO,2500,1500,1,0.13235773215087865
HPO,250,100,5,0.15333643958927398
HPO,100,100,2,0.18033094699457747
HPO,500,100,7,0.14651372430374643
HPO,500,50,1,0.13278197108207918
HPO,100,50,100,0.14397178955816914
HPO,250,100,15,0.14497460988208546
HPO,750,50,1,0.1325042495493012
HPO,1000,500,5,0.15245932601900503
HPO,250,100,100,0.14479172481574967
HPO,1000,50,1,0.13300553513510022
HPO,250,50,100,0.14674374743317803
HPO,100,100,7,0.14671633996663863
HPO,2500,100,2,0.18143012663974364
HPO,1000,100,15,0.14452461939989555
HPO,2500,50,100,0.14787255889690193
HPO,1000,1000,3,0.1662947703160285
HPO,1000,1000,5,0.15419583491988498
HPO,500,500,2,0.18039470082437684
HPO,750,500,5,0.15291359252784104
HPO,2500,50,1,0.13230215646238846
HPO,2500,1500,3,0.16912534530732254
HPO,100,50,1,0.13342029225783847
HPO,750,500,3,0.1675228287283481
HPO,250,100,7,0.14670286203043456
HPO,100,100,100,0.14268259804518302
HPO,2500,50,2,0.17907978401569288
HPO,2500,500,5,0.1532745299366257
HPO,500,100,5,0.1524817993211774
HPO,750,500,15,0.14486351533790304
HPO,1000,1000,15,0.14488105603436016
HPO,250,100,1,0.1308345144772937
HPO,1000,1000,2,0.17967059514723027
HPO,500,50,15,0.14765170891842908
HPO,1000,1000,100,0.1450574835038796
HPO,2500,500,15,0.1443040701056231
HPO,2500,50,5,0.15482990923096418
HPO,2500,100,100,0.14394686392878175
HPO,500,50,5,0.1542276178384397
HPO,2500,500,1,0.13279603159860853
HPO,2500,1500,100,0.14433314946432627
HPO,2500,1000,5,0.1538094850473926
HPO,1000,100,1,0.13219033046267903
HPO,2500,1000,2,0.1798345437313803
HPO,750,100,7,0.1463333462063093
HPO,750,100,100,0.14387545465137463
HPO,100,100,15,0.141538460444809
HPO,750,100,15,0.14359788206593083
HPO,500,50,3,0.1686383866936578
HPO,250,50,5,0.15366495012891926
HPO,2500,100,7,0.14670511377283124
HPO,1000,50,2,0.17936980205195188
HPO,500,50,100,0.14698234212357628
HPO,500,100,1,0.13373112711923593
HPO,2500,1000,7,0.14729993804282557
HPO,1000,100,2,0.17958705829973617
HPO,2500,1500,15,0.14333590491882545
HPO,750,50,5,0.15413272861443095
HPO,2500,1500,7,0.14613775592231024
HPO,500,100,15,0.14436327894813314
HPO,1000,100,100,0.1451982520789054
HPO,250,100,2,0.18105102123223618
HPO,1000,50,7,0.14943264551780536
HPO,750,50,3,0.1682793641397599
HPO,1000,500,3,0.16814974957524362
HPO,100,100,5,0.1532437789471681
HPO,1000,1000,1,0.1326951183715342
HPO,1000,500,2,0.17934224995856204
HPO,1000,500,1,0.13088200745367107
HPO,750,500,1,0.13433670774558126
HPO,500,500,3,0.16719264264429576
HPO,500,50,2,0.1808635927239906
HPO,750,50,7,0.14974349920940286
HPO,1000,500,15,0.1458178411318773
HPO,750,100,3,0.16899243131513633
HPO,750,50,100,0.1473056155767981
HPO,2500,1000,3,0.16815815701438144
HPO,2500,1000,100,0.14536789968461025
HPO,250,50,7,0.1488877755489977
HPO,1000,500,7,0.14585660966091019
HPO,2500,50,7,0.15041183376873657
HPO,2500,50,3,0.16705739560475374
HPO,2500,1500,2,0.1806836984555206
HPO,100,50,5,0.15352446831582878
HPO,1000,100,3,0.16763596278725074
HPO,750,100,1,0.13336724207356598
HPO,2500,500,2,0.17869998029233258
HPO,1000,50,15,0.14715557807480092
HPO,750,500,2,0.18031402111270536
HPO,250,50,2,0.18047317495940834

Best hyperparameter values found:
m_most_recent_sessions: 2500
neighborhood_size_k: 100
max_items_in_session: 2
 with Mrr@20:0.18143012663974364
