training_data_file:/Users/crescentonc/code/comp5331/datasets_preprocessed/retailrocket_train_hyperparam.0.txt
test_data_file:/Users/crescentonc/code/comp5331/datasets_preprocessed/retailrocket_test_hyperparam.0.txt
HPO,100,50,1,0.08448250812881715
HPO,2500,50,100,0.12833418370822317
HPO,250,50,2,0.12103202354549678
HPO,100,100,100,0.13064723096240666
HPO,500,100,3,0.12795189827925835
HPO,1000,50,1,0.08423129751780427
HPO,1000,1000,15,0.13061908599963584
HPO,750,500,15,0.13042355637374617
HPO,2500,1500,1,0.08496144559034396
HPO,500,500,7,0.13104176663456926
HPO,100,50,100,0.12894150125477885
HPO,500,100,1,0.08526289391474622
HPO,1000,500,5,0.13048659202813004
HPO,2500,1000,15,0.13062139516864932
HPO,750,100,1,0.0848544166423606
HPO,1000,500,1,0.08529528963486954
HPO,500,500,100,0.1306138272462886
HPO,2500,50,2,0.12144968313953296
HPO,500,50,5,0.12809514686549067
HPO,1000,50,5,0.12798658704523908
HPO,2500,100,2,0.12344774120915494
HPO,750,500,7,0.13076918419032144
HPO,2500,1500,100,0.1306756838999372
HPO,2500,500,2,0.12376494844464495
HPO,750,50,5,0.12788050533225215
HPO,2500,50,15,0.12835227099640245
HPO,250,50,100,0.1281661272998938
HPO,2500,1000,3,0.12856586151674365
HPO,250,100,2,0.12309016690444222
HPO,1000,500,100,0.13070826620708637
HPO,2500,1500,15,0.1307123537196647
HPO,500,500,1,0.08506775190038225
HPO,2500,1500,5,0.13063759876769823
HPO,250,50,5,0.12778864753490085
HPO,1000,50,100,0.12821944435666383
HPO,250,100,5,0.12994376132726415
HPO,1000,500,2,0.12382314455084314
HPO,2500,500,3,0.12857506525319604
HPO,1000,100,15,0.1301410822998342
HPO,500,500,5,0.13028091597539543
HPO,2500,1000,100,0.13073922444664257
HPO,100,100,1,0.085204575589918
HPO,1000,50,7,0.1284198361531835
HPO,500,100,7,0.13030452066732873
HPO,2500,50,5,0.1282052647164583
HPO,500,50,15,0.12849367030974967
HPO,2500,500,1,0.08508356719939411
HPO,100,50,3,0.12684814518473872
HPO,2500,50,7,0.12858762325686024
HPO,500,500,15,0.13059474741587143
HPO,500,100,5,0.130059596582797
HPO,500,50,100,0.12843960238129543
HPO,1000,500,7,0.13082029577594678
HPO,750,100,15,0.1299230727193639
HPO,1000,1000,1,0.08522966509888052
HPO,750,100,7,0.1304249347928532
HPO,750,50,2,0.12134197248777204
HPO,750,100,5,0.13011123364273838
HPO,100,50,2,0.12146631249535088
HPO,2500,100,5,0.13004586003326393
HPO,100,100,2,0.12365483937016515
HPO,250,100,100,0.12993108500764836
HPO,750,500,1,0.08517867194794021
HPO,2500,500,5,0.1305439392797529
HPO,250,100,15,0.13034903288865407
HPO,250,50,15,0.12851600442035127
HPO,1000,1000,3,0.1284886000293086
HPO,250,50,1,0.08429295184088396
HPO,2500,1000,1,0.08520653536288564
HPO,500,500,3,0.128474288863626
HPO,2500,100,100,0.12988497481430974
HPO,750,100,2,0.12325152835936369
HPO,100,50,7,0.129119029909391
HPO,2500,500,100,0.13086759159497047
HPO,500,50,1,0.08425849897839868
HPO,2500,500,7,0.1308597956654925
HPO,750,500,2,0.12366513069446465
HPO,1000,500,3,0.12859122455244718
HPO,2500,50,3,0.12610711472368888
HPO,500,50,7,0.12874938345726555
HPO,1000,500,15,0.13065835247932983
HPO,100,100,5,0.13033141706368787
HPO,2500,1500,3,0.12846327629536566
HPO,1000,50,2,0.12092108558063999
HPO,750,100,3,0.12792024811934458
HPO,1000,1000,100,0.13063168445512766
HPO,100,100,3,0.12802494055901883
HPO,750,500,3,0.1286229379617468
HPO,500,50,3,0.1260741717071218
HPO,2500,50,1,0.08455228661011922
HPO,2500,1000,2,0.12383744415517478
HPO,750,50,7,0.12855522025648325
HPO,2500,1000,5,0.13044740153886344
HPO,1000,1000,2,0.12364721354118927
HPO,2500,1500,2,0.12372073996667383
HPO,1000,1000,7,0.13078861202972794
HPO,500,100,2,0.1233387781415789

Best hyperparameter values found:
m_most_recent_sessions: 500
neighborhood_size_k: 500
max_items_in_session: 7
 with Mrr@20:0.13104176663456926
