training_data_file:/Users/crescentonc/code/comp5331/datasets_preprocessed/xing_train_hyperparam.0.txt
test_data_file:/Users/crescentonc/code/comp5331/datasets_preprocessed/xing_test_hyperparam.0.txt
HPO,250,100,1,0.009610039444352188
HPO,2500,50,15,0.018680455452652147
HPO,750,50,1,0.009791113136759335
HPO,750,500,1,0.009608198892207922
HPO,1000,1000,3,0.016357922830874227
HPO,500,100,2,0.014831861852245196
HPO,1000,500,2,0.014724368801451261
HPO,750,500,100,0.01862392385580369
HPO,1000,500,15,0.01832109562413375
HPO,1000,1000,2,0.015156488797345997
HPO,1000,50,7,0.017626774813499353
HPO,1000,500,3,0.016147255621182032
HPO,100,50,15,0.018820255566813944
HPO,750,500,7,0.01860865234402189
HPO,2500,500,100,0.018398437555874204
HPO,500,500,100,0.01834621103257505
HPO,2500,500,3,0.01623409295943831
HPO,500,100,3,0.01606204910511458
HPO,1000,100,100,0.018104024904531033
HPO,250,100,7,0.01852780032699167
HPO,500,50,1,0.010336589315875905
HPO,2500,1000,7,0.01821504910482367
HPO,500,500,1,0.01005187434006992
HPO,250,100,100,0.018499659963601613
HPO,250,50,100,0.01883246067628901
HPO,100,50,100,0.018754259672651596
HPO,100,50,1,0.00963976477360655
HPO,500,500,2,0.014866730706962067
HPO,750,500,5,0.01732191052645596
HPO,2500,1500,15,0.018546640748049376
HPO,2500,1500,7,0.018288863417183093
HPO,2500,500,5,0.017309954349485134
HPO,750,500,2,0.014703695554182241
HPO,1000,1000,1,0.009646092735158433
HPO,500,50,100,0.018043568961324256
HPO,500,500,5,0.017776217123702635
HPO,750,500,15,0.01820604087822942
HPO,750,50,7,0.01795553148931665
HPO,2500,1000,1,0.00963696573338662
HPO,500,50,15,0.018084246616021545
HPO,1000,1000,100,0.018145959864883515
HPO,2500,1500,1,0.01001143260028793
HPO,750,100,3,0.016713900268988433
HPO,2500,1500,3,0.015643945126812085
HPO,1000,1000,15,0.018635650949581042
HPO,250,50,5,0.0172603469827472
HPO,2500,50,1,0.009907770501676681
HPO,2500,50,2,0.015290939311025788
HPO,1000,1000,7,0.017929678800278258
HPO,2500,50,7,0.018691050019392242
HPO,250,50,2,0.015234026968423577
HPO,750,50,100,0.018533881857526142
HPO,2500,1000,5,0.017836294759273216
HPO,100,100,3,0.015652164148394872
HPO,1000,50,2,0.014895408845853188
HPO,2500,100,1,0.010036931047299186
HPO,500,100,1,0.00978113347235043
HPO,100,50,5,0.01765599509781236
HPO,2500,500,7,0.017960854006147005
HPO,750,50,15,0.01868603197409053
HPO,250,100,5,0.017455039972170256
HPO,2500,1000,15,0.01860720653008326
HPO,1000,50,3,0.01632805474660582
HPO,2500,100,3,0.01621312286415858
HPO,750,100,5,0.01772228969369725
HPO,500,50,3,0.01694962496054738
HPO,500,100,15,0.018384708914823744
HPO,250,50,7,0.018436362949051332
HPO,1000,100,7,0.018203493975463718
HPO,2500,100,100,0.018368699319767135
HPO,750,50,2,0.014688800802289683
HPO,1000,100,15,0.018358994143610037
HPO,100,100,1,0.008987717547061465
HPO,2500,1500,5,0.017818341551839263
HPO,2500,500,15,0.01869851924910322
HPO,500,50,2,0.014808371954493828
HPO,750,100,2,0.014710647244319617
HPO,2500,100,5,0.01724196826587523
HPO,1000,100,2,0.015091101169021633
HPO,1000,500,5,0.017084740239230383
HPO,2500,500,1,0.010082045191937098
HPO,2500,500,2,0.014486398832157826
HPO,2500,1000,2,0.014315698189206777
HPO,2500,1500,100,0.018962100690622277
HPO,750,100,100,0.01959618564728446
HPO,100,100,15,0.018195469269095904
HPO,100,50,3,0.015975494546886054
HPO,500,100,100,0.018425704423492128
HPO,250,100,15,0.018438205361948467
HPO,500,500,15,0.01808106790604566
HPO,500,500,7,0.01864625361094815
HPO,2500,100,2,0.015391991417299676
HPO,500,100,5,0.018010827649956936
HPO,750,50,3,0.01631484495732141

Best hyperparameter values found:
m_most_recent_sessions: 750
neighborhood_size_k: 100
max_items_in_session: 100
 with Mrr@20:0.01959618564728446
